

*******************************************************************************
Ephemeris / WWW_USER Wed Jun  5 18:07:07 2024 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 99942 Apophis (2004 MN4)        {source: JPL#218}
Center body name: Earth (399)                     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2029-Apr-13 15:46:00.0000 TDB
Stop  time      : A.D. 2029-Apr-15 03:46:00.0000 TDB
Step-size       : 1 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}
Small perturbers: Yes                             {source: SB441-N16}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
EOP file        : eop.240605.p240829
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2024-JUN-05. PREDICTS-> 2024-AUG-28
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2459215.5 ! 2021-Jan-01.00 (TDB)         Residual RMS= .17952        
   EC= .1915216892529348   QR= .7458270479403062   TP= 2459101.039422418       
   OM= 204.0389271089114   W=  126.6520518833791   IN= 3.336751319526047       
  Equivalent ICRF heliocentric cartesian coordinates (au, au/d):
   X=-4.098530837957945E-01  Y= 9.070198867765817E-01  Z= 3.267919471926086E-01
  VX=-1.507552412223498E-02 VY=-3.713559924880165E-03 VZ=-1.761867984500986E-03
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= .170               ROTPER= 30.56               
   H= 19.09                G= .240                 B-V= n.a.                   
Non-default Earth gravity model (EOBL_LIM= au):                                
   EOBL_LIM= 1.000                                 EOBL_MOD = 2x0 (J2 only)    
Asteroid non-gravitational force model (AMRAT= m^2/kg;A1,A2,A3=au/d^2;R0=au):  
   AMRAT=  0.                                                                  
   A1= 4.999999873689E-13  A2= -2.901092102547E-14 A3= 0.                      
 Non-standard or simulated/proxy model:                                        
   ALN=  1.            NK=  0.       NM=  2.       NN=  5.093    R0=  1.       
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2462240.156944444, A.D. 2029-Apr-13 15:46:00.0000, -1.288300188828707E+05, -5.449216341364717E+04, -3.349814543162580E+04,  4.531555661483901E+00,  4.009515051930622E+00,  1.748250804153883E+00,
2462240.157638889, A.D. 2029-Apr-13 15:47:00.0000, -1.285580944661796E+05, -5.425157937490526E+04, -3.339324229343212E+04,  4.532592494093546E+00,  4.009953130223603E+00,  1.748520665091572E+00,
2462240.158333333, A.D. 2029-Apr-13 15:48:00.0000, -1.282861076712310E+05, -5.401096901097496E+04, -3.328832292820875E+04,  4.533634943175930E+00,  4.010392559033100E+00,  1.748791706485770E+00,
2462240.159027778, A.D. 2029-Apr-13 15:49:00.0000, -1.280140581597984E+05, -5.377033224071204E+04, -3.318338726490526E+04,  4.534683053029177E+00,  4.010833341637982E+00,  1.749063935643992E+00,
2462240.159722222, A.D. 2029-Apr-13 15:50:00.0000, -1.277419455907941E+05, -5.352966898279775E+04, -3.307843523203130E+04,  4.535736868402909E+00,  4.011275481276409E+00,  1.749337359928043E+00,
2462240.160416667, A.D. 2029-Apr-13 15:51:00.0000, -1.274697696205676E+05, -5.328897915570319E+04, -3.297346675766788E+04,  4.536796434503785E+00,  4.011718981144348E+00,  1.749611986754413E+00,
2462240.161111111, A.D. 2029-Apr-13 15:52:00.0000, -1.271975299027562E+05, -5.304826267774334E+04, -3.286848176942365E+04,  4.537861797001129E+00,  4.012163844394081E+00,  1.749887823594704E+00,
2462240.161805556, A.D. 2029-Apr-13 15:53:00.0000, -1.269252260881662E+05, -5.280751946700936E+04, -3.276348019448460E+04,  4.538933002032634E+00,  4.012610074132647E+00,  1.750164877976017E+00,
2462240.162500000, A.D. 2029-Apr-13 15:54:00.0000, -1.266528578247726E+05, -5.256674944142265E+04, -3.265846195957029E+04,  4.540010096210152E+00,  4.013057673420255E+00,  1.750443157481363E+00,
2462240.163194444, A.D. 2029-Apr-13 15:55:00.0000, -1.263804247578979E+05, -5.232595251871142E+04, -3.255342699093590E+04,  4.541093126625540E+00,  4.013506645268691E+00,  1.750722669750071E+00,
2462240.163888889, A.D. 2029-Apr-13 15:56:00.0000, -1.261079265299439E+05, -5.208512861643470E+04, -3.244837521439020E+04,  4.542182140856621E+00,  4.013956992639627E+00,  1.751003422478190E+00,
